category,reflex_fonts,reflex_styles,reflex_palette_hues,note,reach_for
Pharmacy,Mulish;Source Sans 3;DM Sans,retail-green cross;rounded pill-bottle icon;CVS-clone clutter,rx-green #0b6e4f;sky #56a0e0,"A green cross with a rounded pill-bottle icon and chain-pharmacy clutter is the reflex. The unmissable refill/transfer action and a real pharmacist reassure, not retail noise.","Hanken Grotesk, Lyon Text for trust copy;the refill and transfer actions as the unmissable hero with a real pharmacist shown, retail clutter removed;keep color functional to the service (a calm apothecary green that is theirs) not a generic rx-green-and-sky"
Telemedicine,Poppins;DM Sans;Mulish,calm-blue friendly;laptop-with-doctor stock;rounded chat bubble,tele-blue #2a5ca8;teal #39c2b8,"Calm blue + a stock laptop-doctor + a rounded chat bubble is the telehealth reflex. The real 3-step path to a clinician and licensing clarity overcome remote-care doubt, not a chat-bubble motif.","Untitled Sans, Berkeley Mono for the visit interface;the on-screen path to a real clinician as the hero with wait time and licensing answered plainly, no stock laptop-doctor;source the accent from the actual care experience (a reassuring exam-room hue) not a default tele-blue-and-teal"
Senior care,Lora;Mulish;Nunito Sans,soft-gradient-blue calm;hands-clasped stock;institutional grey,care-violet #5e4b8b;warm-amber #e6b566,"Soft blue with a clasped-hands stock photo and institutional grey is the senior-care reflex. The adult child needs dignity and real residents, with care levels and a tour clear.","Lyon Text, Hanken Grotesk for UI;real residents and named staff with dignity, care levels and a tour path clear, no clasped-hands stock or institutional grey;ground in a warm dignified palette from the actual community (a sunlit-wood common room) not soft-gradient-blue"
Optometry,Montserrat;Jost;Poppins,clinical-blue;rounded eye/glasses icon;stock model in frames,optic-blue #16486a;cyan #52b7c9,"Clinical blue with a rounded eye-icon and a stock model in frames is the optometry reflex. Bridge eye-health and the retail frame try-on — make both first-class, vision crisp.","ABC Diatype, GT Sectra for headings;exam-booking and frame-browsing both first-class with crisp vision-clear imagery, no rounded eye-clipart;take the accent from the actual lens/frame experience (a precise optical cyan) not a default optic-blue"
Pediatrics,Baloo 2;Fredoka;Poppins,primary-color cartoon;balloon-and-crayon clipart;juvenile everything,kid-blue #2d7dd2;sunny #f4b942,"Primary-color cartoons with balloon-and-crayon clipart is the pediatrics reflex that talks down to the paying parent. Reassure the parent first, delight the child second — bright but credible.","Hanken Grotesk, Newsreader for an accent serif;the parent reassured first with real providers and the portal surfaced, bright-but-credible over balloon-clipart juvenilia;keep color cheerful-yet-trustworthy from the real practice, not a default primary kid-blue-and-sunny"
Plumbing/HVAC,Oswald;Anton;Barlow Condensed,stock-blue;wrench/pipe clipart;'professional & reliable' banner,trade-navy #0c3c60;hi-vis-orange #e8772e,"Stock blue with wrench clipart and a 'professional & reliable' banner is the plumber reflex. Response time, a real phone number, and the actual crew/trucks beat corporate polish.","Aktiv Grotesk, Barlow for the dispatch numerals;the real crew and trucks with a response-time promise and a tap-to-call as the hero, no wrench-clipart banner;ground in the company's real livery color (the truck's actual paint) not a stock trade-navy-and-hi-vis-orange"
Hair salon/barber,Playfair Display;Cormorant;Great Vibes,script-luxe;gold-on-black;empty-chair stock,salon-bronze #b08d57;noir #1a1a1a,Script-luxe gold-on-black with an empty-chair stock photo is the salon reflex. The actual work is the pitch — a real lookbook and named-stylist booking beat a script wordmark.,"Reckless for one display line, Söhne body;a real lookbook of THIS salon's work with named-stylist online booking as the focal pair, no empty-chair stock;pull color from the salon's own interior and brand, not a default script gold-on-black"
Auto repair,Oswald;Rajdhani;Barlow Condensed,stock-blue checkered-flag;wrench-and-gear clipart;'honest service' banner,mechanic-graphite #22262b;safety-red #d64933,"Stock blue with checkered-flag and wrench-gear clipart is the auto-shop reflex. Transparency — upfront estimates, real techs, warranty — counters mechanic distrust, not a flag motif.","Berkeley Mono for estimate figures, Px Grotesk body;upfront estimates and real techs with warranty terms shown plainly, gritty-honest over checkered-flag clipart;source the accent from the shop's real identity (a tool-brand red that is theirs) not stock graphite-and-safety-red"
Home cleaning,Quicksand;Nunito;Comfortaa,sparkle-clipart;teal-and-white fresh;stock maid in uniform,clean-teal #1c7c9c;fresh-mint #9ad9c7,"Sparkle clipart with teal-and-white and a stock uniformed maid is the cleaning reflex. The relief of a clean home plus a vetted, background-checked person sell — not sparkle icons.","Hanken Grotesk, GT Sectra for the wordmark;instant pricing and background-check proof with the relief of a real clean home shown, no sparkle-clipart;take color from the brand's own fresh identity, not a default clean-teal-and-mint with a stock maid"
Landscaping/lawn,Oswald;Bebas Neue;Barlow,generic-green gradient;leaf clipart;stock perfect-lawn,lawn-green #33691e;lime #c5e063,A generic green gradient with leaf clipart and a stock perfect-lawn is the landscaping reflex. Real transformed yards in this region's plants and a local service map differentiate.,"Söhne, Druk for one bold line;real before/after of THIS region's yards with a local service map, seasonal and place-specific over leaf-clipart;ground in the actual local flora and soil color, not a default lawn-green-and-lime gradient"
Moving company,Oswald;Anton;Barlow Condensed,stock-blue truck-silhouette;'fast & reliable' banner;cardboard-box clipart,mover-blue #234e70;hi-vis-amber #f0a124,"Stock blue with a truck silhouette, a 'fast & reliable' banner, and box clipart is the mover reflex. Trust with your belongings — the real crew, insurance, transparent quote — sells.","Basis Grotesque, Barlow for quote numerals;the real crew, insurance, and a fast transparent quote as the focal trust, no truck-silhouette-and-box clipart;source color from the company's actual truck livery, not a stock mover-blue-and-amber"
Locksmith,Oswald;Rajdhani;Barlow Condensed,stock-blue padlock-icon;'24/7 emergency' red banner;keyhole clipart,lock-indigo #2b2d42;brass #c9a227,"A stock-blue padlock icon with a red '24/7' banner is the locksmith reflex. An emergency trade — the call button, response time, license, and ID-on-arrival defeat the scam fear.","National 2, Barlow for the dispatch line;the call button and response time as the hero with license and ID-on-arrival visible, no padlock-clipart banner;take the accent from a real brass/key material cue, not a stock lock-indigo-and-red"
Pet grooming,Baloo 2;Fredoka;Comfortaa,cartoon-paw;pastel-pink rounded;clipart dog silhouette,groom-violet #7a5c9e;blush-pink #f4a6c0,"Cartoon paws with pastel-pink rounded everything is the pet-grooming reflex. Adorable real before/after of actual pets and the groomer's gentleness sell, not a paw-clipart.","Untitled Sans, GT Sectra for the wordmark;adorable real before/after of actual pets with booking by size/breed, the groomer's gentleness shown over cartoon-paw clipart;pull color from the shop's own playful identity, not a default groom-violet-and-blush-pink"
Childcare/daycare,Baloo 2;Fredoka;Quicksand,primary-rainbow;crayon-and-ABC clipart;balloon everything,daycare-orange #e8743b;sky-teal #5bb8b0,"Primary rainbow with crayon-and-ABC clipart is the daycare reflex that overwhelms anxious parents. Safety and warmth together — a real day, named caregivers, ratios — reassure.","Hanken Grotesk, Tiempos Text for warmth;a real day shown with named caregivers, ratios, and safety, credible-bright over crayon-rainbow clipart;keep the palette warm-and-trustworthy from the actual space, not a default daycare-orange-and-teal rainbow"
Tutoring,Poppins;Baloo 2;Fredoka,ed-tech primary-blue;graduation-cap clipart;stock studious teen,tutor-indigo #3949ab;gold #f2c14e,Ed-tech primary-blue with a graduation-cap icon and a stock studious teen is the tutoring reflex. A credible path to a grade/score with real outcomes and tutors differentiates.,"Schibsted Grotesk, GT Sectra for headings;a credible path to a real grade or score with qualified tutors and a matching/scheduling flow, no grad-cap clipart;let the subject set the tone (a math tutor's grid-blue, a writing tutor's ink) not a default tutor-indigo-and-gold"
Travel blog,Playfair Display;Lora;Sacramento,script-overlay-on-sunset;wanderlust-cursive;washed-out filter,journey-teal #1b6b7c;sunset-amber #efa94a,"A script overlay on a sunset photo with a washed filter is the travel-blog reflex. A strong narrative voice and the real photography lead — this is a personal place, not a booking funnel.","Canela for headlines, Untitled Sans body;the real photography and a strong narrative voice leading with reading and subscribing the natural path, no script-on-sunset overlay;take color from the destinations actually shot, not a default journey-teal-and-sunset-amber"
Wedding/events,Great Vibes;Playfair Display;Sacramento,calligraphy-script;blush-and-gold confetti;stock bridal pose,wedding-mauve #6e5b73;champagne #d9b08c,"Calligraphy script with blush-and-gold confetti and a stock bridal pose is the wedding reflex. Real (not stock) celebrations sell the feeling, with the palette from the actual venue or season.","Canela Deck, Söhne for details;real celebrations sold through the feeling with a clear inquiry path, no calligraphy-and-confetti staging;draw the palette from the actual venue and season (a garden's greens, an autumn's rust) not template blush-and-gold"
Interior design,Cormorant;Tenor Sans;Marcellus,thin-serif-on-cream;gold-hairline;staged stock interior,design-taupe #3c3a36;clay #a0876a,Thin serif on cream with gold hairlines and a staged stock interior is the interior-design reflex. The portfolio is the whole argument — full-bleed real rooms and material sense lead.,"GT Sectra Display, Söhne for captions;full-bleed real rooms as the entire argument with material and taste shown, process understated, no staged stock;source color from the actual projects' palettes, not a default taupe-and-clay-on-cream"
Fashion brand,Didot-style;Playfair Display;Bodoni,high-fashion-thin-serif;huge-letterspaced caps;monochrome model wall,runway-noir #161616;stone #c8b6a6,"A high-fashion thin serif with letterspaced caps over a monochrome model wall is the fashion reflex — luxury-of-the-template, not the brand. The lookbook and a confident POV lead.","Romie or GT Sectra Display, ABC Diatype for labels;the lookbook and a confident point of view leading with the brand's own art direction setting tone, no borrowed thin-serif costume;pull the palette from the collection itself, not a default runway-noir-and-stone"
Beauty/cosmetics,Playfair Display;Cormorant;Italiana,airbrushed-model-gloss;blush-pink everything;script accent,beauty-plum #5a2a40;petal-pink #e0a4b0,"Airbrushed model gloss with blush-pink everything and a script accent is the beauty reflex. Real skin tones, swatches, and ingredient/results proof beat the gloss for modern buyers.","GT Sectra for the wordmark, Maison Neue body;real swatches across real skin tones with shade-matching and ingredient proof as the hero, no airbrushed gloss;take the palette from the actual product shades, not a default beauty-plum-and-petal-pink"
Jewelry,Cormorant Garamond;Cormorant;Italiana,thin-serif-on-black;extreme-letterspacing;generic sparkle bokeh,jewel-ink #1f1b17;antique-gold #b89968,Thin serif on black with extreme letterspacing and sparkle bokeh is the jewelry reflex — a generic luxury costume. The piece catching light at scale and material specificity convey value.,"Canela or GT Sectra Display, Söhne for spec;the piece and its material catching light at scale with provenance, metal, and stone named, no sparkle-bokeh costume;source the palette from the actual metal and stone, not a default jewel-ink-and-antique-gold"
Coffee roaster,Bebas Neue;Oswald;Pacifico,hipster-condensed-caps;kraft-paper texture;stamp-badge logo,roast-brown #3b2419;copper #c16d3a,"Condensed caps with kraft-paper texture and a stamp-badge logo is the coffee-roaster reflex. Origin, roast, and ritual sell — the real roast browns and bag/origin story set the palette.","Untitled Sans, GT Sectra for the wordmark;origin, roast, and brew ritual sold with a real subscription and the bag/origin story, no kraft-and-badge cliche;let the actual roast and origin set color, not a default roast-brown-and-copper badge"
Brewery/winery,Trajan;Bebas Neue;Cinzel,gothic-or-trajan-badge;crest emblem;sepia vintage filter,cellar-maroon #4a1c2e;harvest-gold #c99a4b,"A gothic or Trajan badge crest with a sepia filter is the brewery/winery reflex. Craft and place — the actual liquid, label art, and the room — convey more than a novelty crest.","GT Sectra Display, Söhne for taproom info;the actual liquid, label art, and taproom room leading with hours and tastings clear, no sepia-crest novelty;draw the palette from the brew or terroir (a stout's black, a rosé's blush) not a default cellar-maroon-and-harvest-gold"
Yoga/pilates studio,Quicksand;Cormorant;Tenor Sans,spa-sage gradient;lotus/silhouette pose clipart;airy-serif zen,studio-sage #5b7553;sand #d9b38c,"A sage gradient with a lotus or silhouette-pose clipart and airy serif is the yoga reflex. Calm and capability without spa cliche — real studio light and instructors lead, schedule bookable.","Hanken Grotesk, GT Sectra accents;real studio light and instructors with the schedule and a first-class offer immediately bookable, no lotus-clipart;take color from the actual studio space, not a default studio-sage-and-sand spa wash"
Outdoor/adventure gear,Bebas Neue;Oswald;Teko,REI-clone earthy;mountain-line-icon;stock summit pose,trail-pine #1e3d34;ember #e2622f,Earthy palette with a mountain-line icon and a stock summit pose is the outdoor-gear reflex. Real field photography and durability proof earn credibility over studio-staged kit.,"Druk for one bold line, Px Grotesk body;real field photography and durability proof with gear specs front and center, no mountain-line-icon or stock summit;let the terrain and use set the palette, not a default trail-pine-and-ember earthy template"
Parenting/baby,Quicksand;Baloo 2;Comfortaa,pastel-everything;cloud-and-star clipart;saccharine soft-focus,nursery-blue #4e7ca1;soft-rose #f6c9c0,"Pastel everything with cloud-and-star clipart and saccharine soft-focus is the baby reflex. Tired parents need safety, real families, and honest reviews fast — substance over pastel.","Hanken Grotesk, Tiempos Text for warmth;safety, real families, and honest reviews surfaced fast with soft-but-credible warmth, no cloud-and-star clipart;keep color soft yet real from the brand, not a default nursery-blue-and-soft-rose pastel overload"
Home goods/furniture,Cormorant;Tenor Sans;Marcellus,scandi-minimal-serif;flat-lay-on-white;showroom stock,walnut-brown #37322c;oak #b79b73,"A Scandi-minimal serif with flat-lay-on-white and a showroom stock photo is the furniture reflex. Material and silhouette in real rooms lead, with wood/textile palette and dimensions clear.","GT Sectra Display, Söhne for spec;material and silhouette shown in real rooms with dimensions clear over flat-pack vibes, no flat-lay-on-white;source the palette from the actual wood and textile, not a default walnut-and-oak Scandi template"
Independent bookstore,Cormorant;Lora;Libre Baskerville,literary-serif-on-cream;quill/book-stack clipart;sterile catalog grid,book-aubergine #3d2c2e;spine-amber #a8703f,"Literary serif on cream with quill or book-stack clipart and a sterile catalog grid is the bookstore reflex. Curation and personality — staff picks and events — are the soul, not a grid.","Lyon Text, Untitled Sans for UI;staff picks and events as the soul with a warm literary character and store hours, no quill-clipart or sterile catalog grid;take color from the store's actual interior and character, not a default book-aubergine-and-spine-amber"
Florist,Great Vibes;Cormorant;Sacramento,script-on-blush;watercolor-bloom clipart;default floral pink,florist-plum #5c4068;petal #e6a0b8,"Script on blush with watercolor-bloom clipart and a default floral pink is the florist reflex. The actual blooms and seasonal color lead, with arrangement artistry and same-day delivery.","Canela for the wordmark, Söhne body;the actual blooms and seasonal color leading with arrangement artistry and same-day delivery, no watercolor-bloom clipart;let the real flowers set the palette, not a default florist-plum-and-petal floral pink"
Skincare DTC,Cormorant;Tenor Sans;Marcellus,clinical-white-minimal;dropper-bottle flat-lay;wellness pastel,skin-forest #2e4034;sand-beige #cbb89d,"Clinical-white minimalism with a dropper-bottle flat-lay or wellness pastel is the skincare-DTC reflex. Modern buyers want efficacy — ingredient transparency, real results, routine clarity.","Untitled Sans, GT Sectra for the wordmark;ingredient transparency, real results, and routine clarity as the proof over clinical-white minimalism or wellness fluff, no dropper flat-lay;source the palette from the formula and ritual, not a default skin-forest-and-sand-beige"
Creator/newsletter,Lora;Source Serif 4;Archivo,substack-template-default;centered-headshot-and-subscribe;generic serif,creator-ink #1a1a1a;signal-orange #f2552c,"The centered headshot with a default serif and a subscribe box is the newsletter-template reflex. This is a person — voice, writing samples, and a clear subscribe value differentiate.","Reckless for the masthead, Untitled Sans body;the writing voice and a clear subscribe value leading with real issue samples and personality, no templated centered-headshot;let the writer's own identity set color, not a default creator-ink-and-signal-orange"
Conference/event,Space Mono;Orbitron;Archivo,tech-event-neon;gradient-mesh-on-dark;generic abstract shapes,summit-indigo #241b4b;hot-pink #ff5c8a,"Tech-event neon with gradient-mesh and generic abstract shapes is the conference reflex. Real speakers, a scannable agenda, and the event's own brand drive a ticket CTA, not abstract blobs.","Monument Grotesk, GT America for headings;real speakers and a scannable agenda creating urgency with the event's brand and date driving tickets, no gradient-mesh blobs;take the palette from the event's own identity, not a default summit-indigo-and-hot-pink neon"
Job board,Poppins;Mulish;DM Sans,stock-office-handshake;generic-blue;briefcase clipart,board-blue #0f4c75;hire-green #3fb68b,"Stock office handshakes with generic blue and briefcase clipart is the job-board reflex. Search is the product — make it the hero with fresh real listings, serving both sides credibly.","Schibsted Grotesk, Berkeley Mono for filters;search as the hero with real fresh listings serving seekers and employers, filled-role proof over stock-handshake art;source the accent from the board's niche, not a default board-blue-and-hire-green"
Coworking space,Poppins;Montserrat;DM Sans,startup-loft-cliche;exposed-brick stock;ping-pong-and-plants,cowork-charcoal #262220;warm-amber #e8a33d,"Startup-loft cliche with exposed-brick stock and ping-pong-and-plants is the coworking reflex. The real space and the community in it sell — actual photos, plans, location, a tour path.","GT Sectra for the wordmark, Söhne body;the real space and member community shown with plans, location, and a tour, no exposed-brick-and-ping-pong stock;take the palette from the actual interior and brand, not a default cowork-charcoal-and-warm-amber"
Coaching/consulting,Montserrat;Lora;Playfair Display,guru-stock-headshot;motivational-gradient;vague-promise hero,advisor-slate #26323d;gold #d4a24e,"A guru stock headshot with a motivational gradient and a vague-promise hero is the coaching reflex. Trust is personal — a real face, specific outcomes, and a defined niche lead.","Lyon Text, Söhne for UI;a real face with specific outcomes and a defined niche leading, quiet authority and a clear booking path over guru-stock and vague promises;ground color in the advisor's real brand, not a default advisor-slate-and-gold gradient"
Accounting/bookkeeping,Mulish;Lora;Source Sans 3,stiff-corporate-navy;calculator/coin clipart;stock spreadsheet,ledger-green #1b4d3e;steel-blue #5e8fb5,"Stiff corporate navy with calculator-coin clipart and a stock spreadsheet is the accounting reflex. Small-business owners want accuracy and approachability — clear services, real credentials, transparent pricing.","Lyon Text, Berkeley Mono for figures;accuracy and approachability with clear services, real credentials, and transparent pricing, no calculator-clipart or stock spreadsheet;take color from a precise-yet-warm identity, not a default ledger-green-and-steel-blue corporate navy"
Construction,Oswald;Anton;Barlow Condensed,stock-blue hardhat-clipart;'building the future' banner;crane silhouette,build-charcoal #2b2b2b;caution-yellow #f2a900,"Stock blue with hardhat clipart, a 'building the future' banner, and a crane silhouette is the construction reflex. Completed real projects at scale and the crew convey capability.","Druk for one bold line, Söhne body;completed real projects at scale with the crew, safety record, and licensing as proof, no hardhat-clipart banner;source the accent from a real safety/brand color, not a default build-charcoal-and-caution-yellow"
Manufacturing/industrial,Rajdhani;Oswald;Barlow,industrial-blue gradient;gear-and-cog clipart;generic factory stock,factory-steel #1f2a36;process-blue #4f93c0,"Industrial-blue gradient with gear-and-cog clipart and generic factory stock is the manufacturing reflex. Procurement engineers want real capabilities, tolerances, and certifications.","Aktiv Grotesk, Söhne Mono for specs;real capabilities, tolerances, and certifications with quality proof for procurement engineers, no gear-clipart or factory stock;ground color in the actual process and product, not a default factory-steel-and-process-blue gradient"
Agriculture/agtech,Oswald;Barlow;Roboto Slab,sterile-saas-on-tractor;generic-green;drone-over-field stock,field-green #4b6f2c;harvest-gold #d9a441,Sterile SaaS-on-a-tractor with generic green and a drone-over-field stock is the agtech reflex. Bridge real farming and data credibility — actual fields plus the yield numbers.,"National 2, IBM Plex Mono for yield data;actual fields with real yield numbers bridging farming and data credibility, no drone-over-field stock;ground in soil, crop, and season color, not a default field-green-and-harvest-gold SaaS template"
Energy/solar,Montserrat;Poppins;Jost,eco-green-gradient;sun-ray-icon;stock-panels-on-roof,solar-teal #13495b;sun-gold #f2b705,"An eco-green gradient with a sun-ray icon and stock panels-on-a-roof is the solar reflex. Concrete savings and the real install process lead, with honest payback numbers over eco-cliche.","Basis Grotesque, IBM Plex Mono for the savings figures;concrete savings and the real install process with honest payback numbers, no sun-ray-icon or stock-panels;take color from real sun-and-sky optimism specific to the offer, not a default solar-teal-and-sun-gold gradient"
Telecom,Rajdhani;Montserrat;Exo,network-swoosh;gradient-globe;abstract-connection-lines,telecom-indigo #2d2a7a;signal-cyan #34c3ce,"A network swoosh with a gradient globe and abstract connection lines is the telecom reflex. Plans and coverage are the decision — real speeds, transparent pricing, a coverage map.","Monument Grotesk, Berkeley Mono for speeds;plans, real speeds, and a coverage map as the clear decision with transparent pricing, no swoosh-and-globe abstraction;source color from the brand's real identity, not a default telecom-indigo-and-signal-cyan"
Church/religious,Trajan;Cinzel;Cormorant,trajan-stone-engraving;stained-glass gradient;dove-and-cross clipart,sanctuary-violet #3e3b6b;candle-gold #c9a24b,"Trajan stone-engraving with a stained-glass gradient and dove-and-cross clipart is the church reflex. Welcome newcomers — service times, what to expect, and real community lead.","Lyon Text, Hanken Grotesk for UI;newcomers welcomed with service times, what-to-expect, and real community, sincere over stone-engraving or dove-clipart;ground color in the congregation's own space and warmth, not a default sanctuary-violet-and-candle-gold"
Museum/gallery,Cormorant;Tenor Sans;Marcellus,thin-serif-on-white;generic-art-tile-grid;sterile-institution,gallery-ink #1a1a1a;bronze #9c8466,"A thin serif on white with a generic art-tile grid is the museum reflex — sterile-institution by default. The art and the current exhibition lead at full scale, with visit info reachable.","GT Sectra Display, Söhne for wayfinding;the art and current exhibition at full scale with visit and ticketing reachable, no generic art-tile grid;let the institution's identity and the show set color, not a default gallery-ink-and-bronze"
Sports team/club,Anton;Teko;Rajdhani,esports-neon;chrome-bevel-crest;generic-action stock,club-navy #0b2545;match-red #e63946,"Esports neon with a chrome-bevel crest and generic action stock is the sports-club reflex. The team's real colors and crest lead, with the next fixture, tickets, and players driving action.","Druk Wide for the scoreline, Söhne body;the team's real colors and crest leading with the next fixture, tickets, and players driving action, no chrome-bevel or esports neon;pull the palette straight from the club's actual identity, not a default club-navy-and-match-red"
Artisanal food/maker,Playfair Display;Cormorant;Palatino;Caslon,high-contrast-serif on unbleached cream;letterpress crest/seal;kraft-paper texture;numbered editorial list,cream #f5efe0;terracotta #9a4318;kraft #c08a3e,"Unbleached-cream paper + a high-contrast serif (Playfair/Cormorant/Palatino) + a terracotta accent + an engraved crest is the small-batch-maker reflex — the warm-neutral monoculture for heritage food. Cream paper specifically is the 2026 AI warm-neutral default the slop check also flags. The product, place, and process should set the palette, not the cream costume.","GT Sectra or Marr Sans for a non-Playfair voice;a committed owned ground sourced from the material itself (rye flour grey-brown, a milling-stone granite, brown-paper kraft, the actual grain gold) rather than generic cream;a working/process layout — the mill, the harvest, the batch ledger as the hero, not a centered serif over paper;reserve any crest to one real mark, not a decorative seal everywhere"
Bakery,Cormorant;Sacramento;Brush Script;Playfair Display,script-or-serif over a flour-dusted hero;cream + warm-brown;chalkboard menu;rounded-friendly badge,cream #f7f0e3;warm-brown #6b4423;wheat #d9a441,"A script or high-contrast serif over a flour-dusted cream hero with a chalkboard menu is the bakery reflex. The crumb, crust color, and the room sell more than a script font — source the palette from the actual bake (sourdough ear, rye crumb, caramel crust).","Reckless or Söhne for a quieter, less wedding-y voice;a ground pulled from the bake itself (toasted-crust brown, sourdough-crumb cream-grey, a rye purple-brown) committed as a real color, not default bakery cream;a real product grid of the actual loaves/pastries shot honestly over a script-and-stock-flour hero"
